2058,-3,16
2040,-10,16
2008,16,17
2032,-7,17
2060,-7,17
2049,14,17
2058,-8,17
2043,0,16
2018,0,15
2052,5,15
2060,-8,15
2052,2,14
2048,9,13
2046,-16,12
2037,11,12
2042,0,12
2054,-7,11
2032,5,10
2033,0,10
2025,-2,9
2006,-2,9
2006,7,10
2068,-7,10
2043,-1,9
2048,9,8
2066,-6,8
2031,-5,7
2071,13,7
1990,-8,6
2026,-4,6
2054,15,6
2058,-20,7
2055,14,7
2015,-1,7
2065,-13,7
2075,19,7
2004,-18,7
2064,16,7
2004,-12,7
2074,0,7
2055,17,8
1952,-32,9
2068,35,10
2024,-23,10
2037,-3,10
2043,35,11
2125,-49,12
2032,31,13
2102,6,13
2024,-30,14
2048,24,14
2040,0,14
2055,-14,15
2056,8,15
2036,9,15
2010,-20,15
2073,17,16
2110,-7,16
2027,-5,16
2025,18,16
2034,-21,16
2065,9,16
2057,5,16
2051,-9,16
2001,1,15
2043,7,16
2044,-9,15
2061,0,15
2063,10,15
2052,-14,15
2091,9,14
2022,-1,14
2038,-3,14
2059,6,13
2049,-11,12
2027,13,12
2067,-5,12
2039,-9,11
2056,19,10
2039,-13,10
2034,-1,10
2107,13,9
2045,-13,9
2012,5,9
2053,9,9
2068,-20,9
2069,16,9
2047,2,9
2055,-19,9
2052,20,9
2048,-9,9
2074,-1,9
2057,4,8
2058,-2,8
2020,4,8
2043,-7,8
2080,9,8
2062,-8,8
2031,4,8
2027,3,8
2015,-11,8
2068,14,8
2044,-9,8
2032,1,8
2020,7,8
2117,-10,9
2087,4,8
2009,3,8
2026,0,8
2044,-9,8
2052,8,8
2066,7,7
2019,-20,8
2031,17,8
2069,-1,8
2056,-16,8
2070,21,8
2057,-11,8
2035,-5,8
2041,14,8
2050,-11,8
2040,0,7
2081,8,7
2067,-10,8
2047,3,8
2065,6,8
2049,-11,8
2059,7,8
2023,2,8
2052,-9,8
2049,9,8
2048,-4,8
2051,1,8
2041,0,7
